SongName	COUNT(*)
Whatcha Say	5
Dancing in the Moonlight	7
Maps	4
Blowin' in the Wind	8
If You're Not The One	10
I Need to Be In Love	2
I'm Good (Blue)	2
Who The Hell Are You	2
Needles and Pins - Mono	1
Bring It Down	4
Vegas Girl	2
It's Hard to Be Humble	2
The Sweet Escape	5
California Love - Original Version (Explicit)	3
Say So	5
Tomorrow	3
With Arms Wide Open	5
All of Me	4
Tip Of My Tongue	7
Close	4
Smokin' in the Boy's Room	2
Arcade	1
Wonderland by Night (Wunderland bei Nacht)	2
In This Life	1
Palisades Park	3
Too Close	1
Sorrow - 2015 Remaster	2
The Lies In Your Eyes	2
When the Going Gets Tough, The Tough Get Going	3
The Love Club	2
Push Th' Little Daisies	4
Snakeskin	2
I Don't Wanna Be In Love (Dance Floor Anthem)	2
The Unguarded Moment	3
Toxic	1
Lyin' Eyes - 2013 Remaster	4
Jump	2
Take Me Back	3
Turn The Page	3
When Will I Be Famous?	2
Will You Be There (In The Morning)	1
Sail	5
Hold Me Closer	3
Polka	7
Keep Talking	3
One Chance To Dance	2
As It Was	1
Cherry Pie	3
Frankie	2
Let It Burn	1
Good For You	2
Losing Friends over Love	1
Angel	3
Sweat (A La La La La Long)	2
Use Me	1
Airplanes (feat. Hayley Williams of Paramore)	1
Amnesia	2
Love Shack	5
9 to 5	2
S.O.B.	3
This Is What It Feels Like	6
Pinball Wizard	2
Independent Women, Pt. 1	3
Hanging By A Moment	1
We Won't Run	7
Two Princes	2
Way To Go!	2
Don't Wanna Go to Bed Now	1
Burn For You	6
Mesmerize	2
Boogie Fever	2
Good Times	2
Never Miss A Beat	2
She Makes My Day	2
Baby Don't Forget My Number	10
I'm Yours	3
Surfin' Safari - Mono/Remastered 2001	2
Should’ve Been Us	3
Baby I Love You	3
See You Again (feat. Charlie Puth)	7
Hot N Cold	5
Bang My Head (feat. Sia & Fetty Wap)	3
Giving Up The Gun	4
Don't Look Back in Anger - Remastered	3
Magic	2
Walk Away	2
It's Gonna Work Out Fine	1
Collide - Acoustic Version	1
Scars	2
If I Had a Hammer	2
Babe	4
Tired Of Talking	2
Young Dumb & Broke	1
Only Happy When It Rains	1
Smack That	1
Talk	4
Circus - Remastered	1
ROCKSTAR 101	6
Holiday	7
Signs	3
no tears left to cry	2
Anything for You	3
Eleanor Rigby	1
Exodus	4
Lifestyle (feat. Adam Levine)	3
Starving	7
Welcome to Paradise	2
When You Say You Love Me	2
Set It Off	3
Kick, Push	3
Bad Moon Rising	4
This Is Who I Am	2
Natalie Don't	3
Basin Street Blues	1
Sugar Free	1
Home Among the Gumtrees	4
The Way I Are	7
Happy Up Here	1
I Love To Love	3
Take Me Bak 'Ome	7
What Have You Done For Me Lately	1
Don't Stop Movin' - Paul Morrell Radio Mix	3
Daddy's Home	2
Paradise	3
You Promised Me	5
Mess Her Up	2
Something Just Like This	2
I Just Wanna Live	3
Bills	3
Runaway	6
The Rockafeller Skank - Full Version	3
Come & Go (with Marshmello)	3
Slave	4
Karma Police	2
Freedom Come, Freedom Go	4
Anything	4
What You Waitin' For	5
Move	1
Keep Me Crazy	1
positions	3
2002	2
Kiddio	4
Instant Karma! (We All Shine On) - Remastered 2010	2
Heart-Shaped Box	3
Surfin' Bird	1
FourFiveSeconds	3
This Is a Call	3
Town Without Pity	2
Girls Can Get It	1
Hide U	1
Walking the Dog - Mono	2
You Found Me	3
What I've Done	3
Creep	10
Tribute	2
Already Gone	10
He Won't Go	2
All Cried Out	1
Dancing With A Stranger (with Normani)	3
Rapture (feat.Nadia Ali)	1
Don't Break The Heart That Loves You	1
Young at Heart	1
Part Of Me	2
Psycho	2
Intergalactic - Remastered 2009	1
I'll Be There	4
Chameleon	1
Lighthouse	2
Say My Name	4
Come Back	2
Give Me Something	4
This Is Heaven	2
Welcome To My World	4
Rock Your Body	2
Stone	2
Escapade	2
Just Another Dream - Album-Edit / 7" Mix	3
I'm Into You	2
Nothin' on You (feat. Bruno Mars)	6
For What It's Worth	8
Don't Play	2
Love Is a Drug	2
I Should've Never Let You Go	3
When Love Takes Over (feat. Kelly Rowland)	1
Rubber Ball - (1990 - Remastered)	1
I Miss You (feat. Julia Michaels)	1
Some People	1
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit	2
Untouchable	1
Teenage Idol	3
Its Alright	5
If the World Was Ending (feat. Julia Michaels)	5
Shut Up and Dance	4
Hey, Soul Sister	7
Lips Are Movin	1
Sick N Tired	2
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)	3
Congratulations	10
Good Life (with G-Eazy & Kehlani)	1
Pictures Of Lily	3
Wipe Out	2
Body on Me (feat. Chris Brown)	1
Sweet Pea	2
Fancy	7
Complicated	6
Stronger	7
Paper Romance	3
Dream Catch Me	3
Rollin' (Air Raid Vehicle)	2
Resolution	3
All Star	3
Around the World	9
Joy To The World	5
Everyday	3
Wolverton Mountain	1
Set Adrift on Memory Bliss (Re-Recorded)	3
Every Hour	2
Make Me Lose Control	2
#SELFIE	1
Spanish Harlem	4
Cinderella Rockefella	4
Another Life	2
Sweet Child O' Mine	3
She's My Baby	4
Without You (feat. Usher)	1
Jai Ho! (You Are My Destiny)	3
The Stroke - Remastered 2010	4
Fortunate Son	1
Macho Man	1
Be Like That - feat. Swae Lee & Khalid	3
If I Ain't Got You	1
Zorba's Dance - Radio Edit	3
2 Be Loved (Am I Ready)	4
The Middle	10
Shop Around	2
Breakeven	8
Can't Stop This Thing We Started	3
Miss Freelove of '69	2
Carol	5
Can We Still Be Friends?	2
Boogie Wonderland (with The Emotions)	3
Overdrive	2
Mean Woman Blues	2
Basket Case	1
all the good girls go to hell	2
Bottle Of Wine	4
Whole Again	2
Unwritten	1
Firestarter	2
Sweet Disposition	6
Love Has No Pride - 2017 Remastered	5
Love Generation - Radio Edit	3
Hello Friday (feat. Jason Derulo)	3
The Rhythm of the Jungle	1
The Look Of Love - Pt. 1	2
Breakaway	6
Poison	3
One Track Mind	2
VALENTINO - Imanbek Remix	2
Instant Replay	8
Holy Grail	4
Terrible Love	2
We Are the Champions (Ding a Dang Dong) - Radio Edit	1
Melanie Makes Me Smile	2
Axel F	4
This Girl (Kungs Vs. Cookin' On 3 Burners)	1
I'll Put You Together Again	3
Apologize	3
Friday I'm In Love	5
No More Tears (Enough Is Enough)	2
The Fighter	6
Trumpets	6
See My Baby Jive - 2006 Remaster	3
Foreign Land	2
Suddenly	3
Truly, Madly, Deeply	2
Got to Get It	3
Guantanamera	4
Sexual Healing	3
Can't Take My Eyes Off You	4
Amazing	3
STAY (with Justin Bieber)	2
Hotel	2
Thriller	1
Somebody	1
Homecoming	2
Trouble	8
Second Chance	5
I Want It All - Remastered 2011	3
She's Like the Wind	2
Rock You Like A Hurricane	3
Dinosaur	2
Wild Horses	3
Rover (feat. DTG)	3
I'm Your Baby Tonight	5
Anywhere	3
Because I Love You (The Postman Song)	3
Overpass Graffiti	3
There You'll Be - 2007 Remaster	2
Turn Off The Light	3
My Sunshine	1
Daddy Cool	2
Coward Of The County	2
All to Myself	1
Hard To Get To Love	2
8 Letters	2
Ferry Cross the Mersey - Mono Version; 1997 Remaster	2
Pray	7
Waiting Game	4
Monster - Transformers Soundtrack Version	2
Ego (Is Not a Dirty Word) - 1994 Remaster	2
Selfish Love (with Selena Gomez)	1
Stuck on You	6
Bizarre Love Triangle	2
Just Ace	3
The Boy Is Mine	2
Follow The Sun	1
Don't You Remember	4
Lose Yourself - From "8 Mile" Soundtrack	1
I Love You Always Forever	9
Impossible	5
Dancing In The Storm	5
Another Love Song	3
Lighters	4
Time of Our Lives	4
All I Want Is You	4
Super Freak	1
Melting Pot	2
Don't Worry Be Happy	4
Familiar	3
Why	4
What You Need	4
I Wanna Be With You	3
In a Different Light	3
Who Knew	4
I'm Not In Love	4
Only Want You	3
Dying For You	4
If You're Too Shy (Let Me Know) [Edit]	2
Call Me Maybe	2
Seasons in the Sun	2
Instruction	4
Mother & Father	2
You Belong With Me	1
Baby, I’m Gettin’ Better	2
All Falls Down (feat. Juliander)	3
Freefallin' (Radio Edit)	1
Higher	10
Roses Are Red (My Love) - Single Version	2
The Greatest View	3
Denim & Lace	3
Life Is Worth Living	2
Honestly	3
Sukiyaki	1
Walls	2
How Does That Grab You, Darlin'?	1
Hurt	4
Closer	5
2.0	1
Saving All My Love for You	3
Love Again	4
In the Midnight Hour	4
Teach Me How to Fly	4
One (Remastered)	1
Love An Adventure	3
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground)	3
Cornflake Girl - 2015 Remaster	2
Case Of You	3
Destination Calabria - Radio Edit	2
TSOP (The Sound of Philadelphia) (feat. The Three Degrees)	1
everytime we touch [Yanou's candlelight mix]	4
Silence (Single Edit)	5
My Coo Ca Choo	1
Patience	2
Let Me Love You	5
Higher Power	4
Lionheart (Fearless)	2
Turn Me On (feat. Vula)	3
Look Into My Eyes	3
River (feat. Ed Sheeran)	4
Like a Killer	1
Counting Down the Days	1
Tribal Dance	3
Too Much Love Will Kill You - Remastered 2011	2
The Star	1
For the First Time	6
Who's Gonna Ride Your Wild Horses	2
Here Without You	7
New in Town	3
Golden Years - M-Phazes Remix	1
Stressed Out	1
Gold on the Ceiling	2
(You're My) Soul And Inspiration	1
Standing In The Rain	2
Freaks - Radio Edit	2
No Aphrodisiac - Original	2
Grease	4
Kicking And Screaming	2
Hit 'Em Up Style (Oops!)	2
Mouth	3
Lithium	2
The Original High	3
Under Pressure - Remastered 2011	2
Are You With Me	2
High - Original Mix	1
Be Faithful	2
California Girls	1
Top Of The World	4
Crash & Burn	3
Shower	2
Superstar	5
Don't Let Me Be Misunderstood / Esmeralda Suite - 7" Edit	1
Mercy	10
Round Round	4
Breathe Life	3
Land of 1000 Dances	1
Don't You Wanna Feel	4
Turn Back Time	2
Thank God I'm A Country Boy	2
Down	5
Julie Anne	5
Vasoline	2
Won't Go Home Without You	1
Somewhere I Belong	5
thank u, next	3
My Girl	3
Hurts So Good	5
Shake It Off	5
Toy Soldiers	1
Good Morning Starshine	6
Boom! Shake the Room	3
Numb Little Bug	5
Picking Up Pebbles	3
Global Concepts	3
She	2
One Sweet Day	4
I'll Be Your Shelter	2
I Was Made For Lovin' You	1
Omen	1
Me & U	3
Back Street Pick Up	2
Je T'aime	1
The Best Thing	1
Won't Get Fooled Again - Original Album Version	3
Dogs Are Talking	4
Now That We Found Love	3
Believe	4
Memories (feat. Kid Cudi)	5
Take Me Home Tonight	4
Miss Right	1
It's Like That	2
In the Shadows	3
Shake It Up	3
Hold On To Me	2
Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'	1
Bad Influence	4
Falling Into You	2
Let's Go To Bed	2
Moderation	6
If I Ain’t Got You - Live	4
Got 2 Luv U (feat. Alexis Jordan)	2
Another Night On The Road	4
Nobody I Know - Mono; 2002 Remaster	3
Never Be Like You (feat. Kai)	4
Walking Away	3
It Ain't Me	3
You I Know	3
Tears and Rain	2
Separate Ways (Worlds Apart)	1
Barracuda	1
Can't Get Enough of Your Love	3
Carry Out (Featuring Justin Timberlake)	2
Keep Your Head Up	4
Purple Hat	1
Undercover Angel	2
Get Ready - Rapversion Edit	2
Southern Sky	1
Home - feat. Michael Bublé	5
Nowhere Man - Remastered 2009	1
Casino Royale	1
Bom Bom - Radio Edit	2
Witch Queen	2
This Ain't a Love Song	4
Life Is Good (feat. Drake)	2
I'm Free	3
Making Your Mind Up	1
Wizard - Radio Edit	3
Gangnam Style (강남스타일)	2
A Thousand Miles	7
Tick Tock (feat. 24kGoldn)	2
Daughter - Remastered	2
The Greatest (feat. Kendrick Lamar)	4
Bad Habits	1
Someday, One Day	2
Handle With Care	3
Life Goes On	7
She Looks So Perfect	3
I Will Never Let You Down	2
Together In Electric Dreams - Remastered 2003 / From "Electric Dreams" Original Motion Picture Soundtrack	3
Down Under	9
Sexy Bitch (feat. Akon)	2
Everybody On The Floor (Pump It) - Radio Edit	2
Pictures Of You	6
Alone (Feat. Big Sean & Stefflon Don)	1
Wings	3
He Did With Me	1
One Moment in Time	3
That's My Girl	5
Please Don't Go	4
Against All Odds (Take A Look At Me Now)	2
The Winner Takes It All	3
Feels (feat. Pharrell Williams, Katy Perry & Big Sean)	1
Not Too Late	4
Wild Thing	4
Sunday Morning	4
Lose Control	1
Mr. Bojangles - Remastered 2001	2
Spirit in the Sky	2
(Everything I Do) I Do It For You	4
Eat It	2
Demons	11
Gimme Some Lovin'	4
Good Time	1
We Own It (Fast & Furious)	4
I Do Not Hook Up	4
All Along the Watchtower	4
Goodbye Yellow Brick Road - Remastered 2014	2
Crazier	1
Hit the Road Jack	4
You'll Never Find Another Love Like Mine	4
Marry The Night	2
The Man Who Can't Be Moved	5
White Wedding - Pt. 1	1
Get Busy	2
Nervous	1
Here With Me	5
Beach Baby	3
Homburg - Single Version - 2009 Remaster - Mono	2
I Knew You Were Trouble.	2
1 2 3 Red Light	1
Close To You	4
7 rings	4
Still Falling For You - From "Bridget Jones's Baby"	4
Cruel to Be Kind	2
Burn so Bright	1
Straight Back Down	1
Have You Never Been Mellow	4
BED	2
We Are The Champions - Remastered 2011	2
I Could Make You Love Me	3
broken	1
The Best	2
WILD	1
Crying In the Chapel	3
Setting Fires	1
Happy Nation	2
Rather Be (feat. Jess Glynne)	5
I Ain't Worried	1
Coz I Luv You	5
! (The Song Formerly Known As)	2
King Of The Road	2
Girl	1
Am I Ever Gonna See Your Face Again - Live	3
Sex (Cheat Codes X Kris Kross Amsterdam)	2
Like This (feat. Eve)	2
Centuries - Remix	1
Uncover	2
Going in with my eyes open	3
(The Lament Of The Cherokee) Indian Reservation	4
The Weekend - Radio Edit	5
Let the Little Girl Dance	2
Someday, Someday - Single Version	1
It's Not Over	2
Colors Of The Wind - End Title	2
Say I Love You	3
Perfect	12
Malibu	3
Counting Stars	4
Move on Up - Extended Version	3
You're Moving out Today	3
Beds Are Burning - Remastered	2
Keep Searchin' (We'll Follow the Sun)	5
Sunset	1
Santa Monica	1
The Ballad Of John And Yoko - Remastered 2015	1
Biding My Time	2
Dirty Deeds Done Dirt Cheap	5
Soldier (feat. T.I. & Lil' Wayne)	1
All The Man That I Need	2
Living On The Ceiling	2
I Want You Back	3
My Name Is Jack - Mono Version	2
Ain’t No Pleasing You	1
Centuries	1
Get Down (You're the One for Me) - LP Edit No Rap	3
I've Been Thinking About You	5
My Sharona	4
22 Steps	3
Orange Crush	2
Heaven For Everyone - Remastered 2011	1
The Sound of Silence - Electric Version	1
Beauty and the Beast - from the Soundtrack "Beauty and the Beast"	3
Sister Christian	3
Cosby Sweater	3
Make A Move On Me	4
Someday	10
Un-Break My Heart	2
This Heart Attack	3
The 59th Street Bridge Song (Feelin' Groovy)	4
Ready to Go (Get Me Out of My Mind)	2
Just Give Me a Reason (feat. Nate Ruess)	3
We Built This City	5
Things	2
You Could Be Mine	4
Don't Want to Leave You	2
Give It Away	1
O-o-h Child	1
React	2
Wishin' And Hopin'	3
Here I Go Again - Radio Version	2
The Boy Does Nothing	2
Leave Me Alone (Ruby Red Dress)	1
On a Night like This	2
She Wolf	5
Check Yes Juliet (Run Baby Run)	4
The Reflex - Single Version; 2010 Remaster	3
Ice Ice Baby	5
This Is How We Do It	4
Folsom Prison Blues	1
For You	4
Rock and Roll Ain't Noise Pollution	2
you broke me first	2
Hard To Say I'm Sorry (feat. Peter Cetera)	3
I’m Still Hot - Original	1
Million Dollar Riff - 2015 Version	1
Little Red Corvette - Single Version	1
I Don't Want to Be	2
Girl's Life	3
I Should Be so Lucky	5
Tattoo	4
Saved in a Bottle - Radio Edit	4
California Blue	2
A Lover's Concerto	8
Every Breath You Take - Remastered 2003	5
No You Girls	1
Born to Run	5
Baby Did A Bad Bad Thing	1
Bubbly	4
From A Jack To A King	4
I Want Love	2
Rumour Has It	4
From Yesterday	1
MIC Drop (feat. Desiigner) [Steve Aoki Remix]	1
True Blue - 1986 Version	3
Logic	3
Locked out of Heaven	1
Let Go	4
How Do I Live	3
Hey Baby (Uhh, ahh)	3
Dreams Are Ten A Penny - Radio Mix	2
The Wedding	1
Dance with Me	4
Crazy In Love (feat. Jay-Z)	1
Be Together (feat. Wild Belle)	4
Treatment	2
Iko Iko	1
Take Me on the Floor	3
Bitter Tears	2
Dynamite	4
Edge of the Night	2
Fire Water Burn	2
Forever Until Tomorrow	4
Poetry In Motion	1
Seven Nation Army	6
Never Gonna Not Dance Again	1
Watch Me (Whip / Nae Nae)	1
I Wanna Be Down	1
3AM	2
Hurt Somebody (With Julia Michaels)	1
she's all i wanna be	6
Batter Up	2
When I'm Sixty Four - Remastered 2009	3
Original Sin	4
Greenlight (feat. Flo Rida & LunchMoney Lewis)	2
Shivers	2
Coming Home	3
When I Look At You	1
Dreaming of You	3
Bossa Nova Baby	2
Raindrops	1
Hotline Bling	2
All That She Wants	2
Can You Feel the Love Tonight - End Title/ From "The Lion King"/Soundtrack Version	1
The Monster	4
Green River	2
Bad, Bad Leroy Brown	3
Fastlove, Pt. 1	3
You Don't Have to Say You Love Me	2
Candy Shop	2
Sylvia's Mother	2
It Don't Come Easy	5
We're Good	7
Comin' Home	2
Why Can't This Be Love	2
The Birds and the Bees	1
Worry About Me (feat. blackbear)	1
Harleys In Hawaii	3
Treat You Better	2
E.T.	1
Funhouse	1
Bitch	5
Kiss You	6
Save The Best For Last	1
New Thang	3
All The Things She Said	1
drivers license	3
Feel Good Time	3
Way out West	8
Volare	2
Blind Faith	3
Bring Me Some Water	1
Slide (feat. Frank Ocean & Migos)	2
I Got You Babe	2
Pop a Bottle (Fill Me Up)	2
(I Want A) Rockin' Christmas	1
Just One Look	3
What In The World’s Come Over You	4
Talkin' Bout a Revolution	4
Welcome to the Black Parade	3
No Diggity	2
This Is How a Heart Breaks	1
Resurrection Shuffle - Remastered	3
Endless Love	7
We're Going Home	1
Anywhere For You	1
Don't Be so Hard on Yourself	4
Hold It Against Me	6
Last Train to Trancentral (Live from the Lost Continent) [Us Version]	3
Get Stupid	3
Dance The Night Away	1
Dynamite (feat. Allday)	1
Bette Davis Eyes	1
Action - Single Version	5
Talking Like I'm Falling Down Stairs	1
Fireflies	5
Days Go By - Radio Edit	2
Don't Fall In Love	2
These Days	6
Tired of Being Alone	2
Ode To My Family	4
Don't Trust Me	4
Come to This	4
Murder On The Dancefloor	4
Walk On The Wild Side	5
Yellow River	2
You Don't Know What You've Got	1
I Will Follow Him	2
Don't Call Me	5
Love On Display	2
Hit Me With Your Best Shot - 1999 Digital Remaster	2
My True Story	2
My Stupid Mouth	1
Wolves	5
Sorry	12
Bang a Gong (Get It On) - 2003 Remaster	2
That's All You Gotta Do	2
Love Not War (The Tampa Beat)	4
Ho Hey	4
The Piper's Song	3
Smells Like Teen Spirit	4
Together	1
Ding Dong! the Witch Is Dead	3
Friday On My Mind	3
Happy	2
Dizzy	1
On a Mission	2
I'm a Mess	1
You're the Inspiration - 2009 Remaster	3
You Make Me Feel... (feat. Sabi)	2
Mockingbird	7
Gold Digger	4
The Happiest Girl in the Whole U.S.A.	4
"The Take Over, The Breaks Over"	4
Ghostbusters	4
We Love - Original	2
Lambada - Original Version 1989	1
Famous	2
You're Still The One	1
Who's That Chick? (feat. Rihanna)	2
Don't Give Up	11
We Are Young (feat. Janelle Monáe)	3
Happy Jack	2
Get Together	3
Let's Dance - 2019 Remaster	1
Love Is In The Air	6
Scattered Diamonds	3
Good Night	5
Undressed	3
All Around The World	1
Frozen	2
Don't Stop (Color on the Walls)	1
Love Long Distance	1
Pumped Up	1
Life	2
Give It Up	4
Jet Black Heart	4
Things That Make You Go Hmmmm.... (feat. Freedom Williams)	1
Superheroes	2
Supermassive Black Hole	4
The Middle - Acoustic Version	1
Dangerous Woman	1
Scatman (ski-ba-bop-ba-dop-bop)	2
Ms. Vanity	1
Cheerleader - Felix Jaehn Remix Radio Edit	3
Heartless	6
Time of the Season - Mono Version	1
Uptown Funk	5
Pompeii	5
Respect - 2003 Remaster	2
Only You (with Little Mix)	1
Falling	11
Euphoria	2
Star Trekkin' - Original Radio Version	2
Naked and Sacred	4
I Don't Want To Be With Nobody But You (feat. Wendy Matthews)	2
The Unforgiven	4
Creeque Alley - Single Version	1
The Only Thing That Looks Good On Me Is You	2
The A Team	4
Farewell Rocketship	3
I Can't Help Myself	4
Halfway Gone	2
The Way You Look Tonight	3
I Am Woman	3
Ready For Your Love	1
Wind Beneath My Wings	3
Gudbuy T'Jane	4
You Get What You Give	5
Holiday (feat. Phiness)	1
1981	1
Weapon Of Choice (feat. Bootsy Collins) - Remastered Version	1
Fallin' - Original Song from the TV Series "The Secret Daughter"	2
People Got to Be Free	2
Oh, Pretty Woman	2
Total Control	1
Heartbeat Song	1
Look What You've Done	5
Stand By You	4
Hummingbird Heartbeat	1
Side To Side	2
Bam Bam (feat. Ed Sheeran)	3
Ten Feet Tall	2
B-Boys & Fly Girls - Radio Edit	5
Why Does My Heart Feel so Bad?	4
Right Back Where We Started From - 1994 Remaster	3
Take Me	1
Bloodstream	4
He Don't Love You - Remastered	3
Gonna Miss You	2
Can't Take My Eyes off of You - From "Jersey Boys"	3
Weekend Wars	1
Same Love (feat. Mary Lambert)	3
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix	4
Lights And Sounds	2
Holy War	3
Begin Again	1
Should I Stay or Should I Go - Remastered	6
Mess Is Mine	2
US Forces - Remastered Version	4
Buffalo Soldier	3
Boom, Boom, Boom, Boom! !	6
Return To Innocence	4
The Power	4
Feel Like Making Love - Edit	1
New York	3
Burning Heart - From "Rocky IV" Soundtrack	3
Billionaire (feat. Bruno Mars) - Radio Edit	1
Calling All Hearts (feat. Robin Thicke & Jessie J)	3
Kiss Me More (feat. SZA)	2
Take Good Care Of My Baby - 1990 Remastered	1
Make It with You	2
Thank U	4
Houdini	5
Baby Workout	2
Pray to God (feat. HAIM)	2
Never Knew Love Like This Before	4
Leaning on a Lamp Post - 2002 Remaster	2
Beat It	3
Dilemma (feat. Kelly Rowland)	3
Bootylicious	2
Lover	6
Goodnight Tonight	3
Kiwi	4
Something About You	1
Drop It Like It's Hot	3
Lover (Remix) [feat. Shawn Mendes]	2
Hero Of The Day	3
We Used To Be Friends	2
Better Days	8
We've Got It Goin' On - Radio Edit	2
Like Lightning	1
Touch Me	5
Downtown	1
It Girl	4
Sk8er Boi	1
Paradise (feat. Dermot Kennedy)	2
All The Pretty Girls	1
Scream & Shout	3
Help I'm Alive	2
I'm Coming Home - Single Version	4
Play	2
Doesn't Somebody Want To Be Wanted	2
You've Gotta Get up and Dance	3
Roar	3
Dancing Queen	2
I Wanna Be Your Lover	3
Concrete And Clay	2
The Best of My Love - 2013 Remaster	3
Whistle (While You Work It)	1
Love Runs Out	2
True Colors	4
Wanted Dead Or Alive	3
Beneath Your Beautiful (feat. Emeli Sandé)	2
Wild One	1
So You Win Again	3
Back Home Again	1
Faith - Remastered	4
Freak	2
It Hurts To Be In Love	2
Golden	1
I Woke Up In Love This Morning	3
(They Long To Be) Close To You	8
I'm Good?	3
Kiss You All Over	7
We Will Rock You - Remastered 2011	3
Man! I Feel Like A Woman!	2
You Are The Reason	3
